id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
1040635500,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-70m2-aluguel-RS480-id-1040635500/,"Apartamento com 2 Quartos para Aluguel, 70m²","Estrada Dom João Becker - Ingleses do Rio Vermelho, Florianópolis - SC",70,2 Quartos,2 Banheiros,1 Vaga,"Churrasqueira
Perto de vias de acesso
Cozinha
Garagem",R$ 480 /dia,,Florianópolis,2021-05-24 01:53
2224785814,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-com-garagem-42m2-aluguel-RS350-id-2224785814/,"Apartamento com Quarto para Aluguel, 42m²","Canasvieiras, Florianópolis - SC",42,1 Quarto,1 Banheiro,1 Vaga,"Ar-condicionado
TV a cabo
Conexão à internet",R$ 350 /dia,,Florianópolis,2021-05-24 01:53
2492541427,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jurere-bairros-florianopolis-com-garagem-52m2-aluguel-RS700-id-2492541427/,"Apartamento com Quarto para Aluguel, 52m²","Rua César Nascimento - Jurerê, Florianópolis - SC",52,1 Quarto,1 Banheiro,1 Vaga,,R$ 700 /dia,,Florianópolis,2021-05-24 01:53
2520684687,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agronomica-bairros-florianopolis-com-garagem-60m2-aluguel-RS2000-id-2520684687/,"Apartamento com 3 Quartos para Aluguel, 60m²","Servidão Franzoni - Agronômica, Florianópolis - SC",60,3 Quartos,1 Banheiro,1 Vaga,,R$ 2.000 /mês,,Florianópolis,2021-05-24 01:53
2518843937,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-35m2-aluguel-RS1200-id-2518843937/,"Apartamento com Quarto para Aluguel, 35m²","Servidão Orleans - Ingleses do Rio Vermelho, Florianópolis - SC",35,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Churrasqueira
Playground
Ar-condicionado
Lavanderia",R$ 1.200 /mês,,Florianópolis,2021-05-24 01:53
2517997407,https://www.vivareal.com.br/imovel/apartamento-1-quartos-sao-joao-do-rio-vermelho-bairros-florianopolis-com-garagem-35m2-aluguel-RS1400-id-2517997407/,"Apartamento com Quarto para Aluguel, 35m²","Rodovia João Gualberto Soares - São João do Rio Vermelho, Florianópolis - SC",35,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.400 /mês,,Florianópolis,2021-05-24 01:53
2517747094,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-90m2-aluguel-RS2300-id-2517747094/,"Apartamento com 2 Quartos para Aluguel, 90m²","Avenida Mauro Ramos - Centro, Florianópolis - SC",90,2 Quartos,2 Banheiros,1 Vaga,Elevador,R$ 2.300 /mês,R$ 616,Florianópolis,2021-05-24 01:53
2517746380,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-65m2-aluguel-RS2000-id-2517746380/,"Apartamento com 2 Quartos para Aluguel, 65m²","Praça Pereira Oliveira - Centro, Florianópolis - SC",65,2 Quartos,1 Banheiro,-- Vaga,Elevador,R$ 2.000 /mês,R$ 445,Florianópolis,2021-05-24 01:53
2492754524,https://www.vivareal.com.br/imovel/apartamento-1-quartos-canasvieiras-bairros-florianopolis-com-garagem-40m2-aluguel-RS500-id-2492754524/,"Apartamento com Quarto para Aluguel, 40m²","Canasvieiras, Florianópolis - SC",40,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Churrasqueira
Ar-condicionado
TV a cabo
Cozinha",R$ 500 /dia,,Florianópolis,2021-05-24 01:53
2517681459,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-104m2-aluguel-RS4500-id-2517681459/,"Apartamento com 2 Quartos para Aluguel, 104m²","Rua Alves de Brito - Centro, Florianópolis - SC",104,2 Quartos,3 Banheiros,1 Vaga,,R$ 4.500 /mês,R$ 1.400,Florianópolis,2021-05-24 01:53
